Gene	Name	Class	% conserved	Length	%Promoter	%RNP	%ORF	%antisense
ENSMUSG00000085438	1700020I14Rik	intergenic	26.14	8298	1.65	16.21	3.06	0.00
ENSMUSG00000112941	AC164441.1	intergenic	25.4	1362	0.00	22.25	2.20	0.00
ENSMUSG00000101225	1700008J07Rik	antisense	25.22	2431	51.17	0.00	0.00	97.21
ENSMUSG00000084799	Ino80dos	antisense	25.18	2875	30.61	0.00	4.17	81.60
ENSMUSG00000102344	9430053O09Rik	intergenic	25.04	2568	100.00	5.76	3.97	0.00
ENSMUSG00000021268	Meg3	ncRNA host	24.65	18104	0.39	89.11	1.55	0.00
ENSMUSG00000097867	Lppos	antisense	24.61	1601	44.60	0.00	16.11	6.62
ENSMUSG00000108414	Snhg1	ncRNA host	23.62	2968	93.30	63.44	5.56	0.00
ENSMUSG00000089737	Gm15688	antisense	23.43	2416	30.09	0.00	10.89	6.46
ENSMUSG00000100789	Gm29508	antisense	23.32	789	0.00	0.00	0.00	0.00
ENSMUSG00000098659	1110015O18Rik	intergenic	22.68	2028	19.53	0.00	0.00	0.00
ENSMUSG00000086782	E130102H24Rik	ncRNA host	22.54	914	22.87	11.27	27.02	0.00
ENSMUSG00000104178	Gm9916	ncRNA host	22.47	1224	34.97	0.00	0.00	0.00
ENSMUSG00000044471	Lncpint	intergenic	21.83	1805	22.11	6.04	16.01	0.00
ENSMUSG00000097788	Gm16596	antisense	21.13	795	0.00	0.00	17.36	52.45
ENSMUSG00000056418	BC043934	intergenic	21.05	2352	11.99	0.00	0.00	0.00
ENSMUSG00000073147	5031425E22Rik	antisense	20.45	5129	51.32	3.90	14.56	0.00
ENSMUSG00000107722	2900060B14Rik	ncRNA host	20.26	612	100.00	17.97	0.00	0.00
ENSMUSG00000112860	AC122317.2	antisense	19.89	1247	19.89	0.00	0.00	100.00
ENSMUSG00000098682	Otx2os1	antisense	19.83	1185	0.00	0.00	17.89	0.00
ENSMUSG00000087574	C030037D09Rik	antisense	19.7	4051	7.78	2.64	11.13	0.00
ENSMUSG00000053574	4930563E22Rik	antisense	19.63	3312	26.30	0.00	11.81	26.30
ENSMUSG00000087301	Gm13629	antisense	19.53	1142	10.42	2.63	23.12	15.67
ENSMUSG00000096935	1700113A16Rik	antisense	19.51	1092	18.13	24.36	0.00	48.81
ENSMUSG00000085730	Gm13307	antisense	19.49	816	19.49	0.00	0.00	46.21
ENSMUSG00000110166	Gm45641	antisense	19.11	450	0.00	0.00	0.00	43.33
ENSMUSG00000097767/ENSMUSG00000098395	Miat/Gm27998	ncRNA host	19.07	9287	9.63	17.02	1.16	39.85
ENSMUSG00000089113	Gm22902	intergenic	18.98	295	0.00	35.93	0.00	0.00
ENSMUSG00000112390	CT025654.1	antisense	18.91	1798	0.00	4.39	7.17	39.32
ENSMUSG00000074466	Gm15417	antisense	18.86	1665	30.99	17.48	0.00	19.76
ENSMUSG00000075585	6330403L08Rik	antisense	18.82	5521	53.36	9.98	7.23	34.43
ENSMUSG00000101621	Gm28905	intergenic	18.46	1484	0.00	0.00	0.00	0.00
ENSMUSG00000097573	G730003C15Rik	antisense	18.11	2308	0.00	0.00	0.00	70.84
ENSMUSG00000097613	Gm17597	antisense	18.11	1110	36.22	0.00	0.00	18.11
ENSMUSG00000099681	1700052K11Rik	antisense	17.96	3691	43.81	3.47	9.02	86.32
ENSMUSG00000087535	Zmiz1os1	antisense	17.65	3466	15.44	2.91	0.00	14.57
ENSMUSG00000112150	AC159296.1	antisense	17.6	2597	41.24	2.58	7.39	15.67
ENSMUSG00000087413	Gm11266	antisense	17.47	1265	16.52	7.43	13.75	0.00
ENSMUSG00000073652	Apol7d	antisense	16.98	2150	2.33	0.00	0.00	22.93
ENSMUSG00000084946	Dlx1as	antisense	16.87	1624	5.36	11.51	15.33	20.56
ENSMUSG00000086290	Snhg12	ncRNA host	16.87	1624	49.32	77.03	10.84	0.00
ENSMUSG00000108738	Gm44777	antisense	16.83	4378	0.00	0.00	0.00	100.00
ENSMUSG00000085256	Dmrta2os	antisense	16.77	835	0.00	0.00	0.00	0.00
ENSMUSG00000106978	N4bp2os	antisense	16.71	2609	6.09	0.00	0.00	41.05
ENSMUSG00000111246	CT025678.1	antisense	16.12	2971	16.12	0.00	0.00	16.12
ENSMUSG00000110773	AC061963.1	antisense	16.07	2328	10.31	0.00	0.00	16.19
ENSMUSG00000104960	Snhg8	ncRNA host	15.85	852	100.00	36.85	17.25	0.00
ENSMUSG00000093436	Gm20646	intergenic	15.82	1707	15.35	0.00	21.44	0.00
ENSMUSG00000097801	Gm26777	antisense	15.65	2569	12.26	5.25	7.47	29.20
ENSMUSG00000097162	2310010J17Rik	antisense	15.58	597	35.51	10.22	17.59	0.00
ENSMUSG00000101438	Gm19412	antisense	15.43	862	100.00	0.00	0.00	100.00
ENSMUSG00000100211	1700064M15Rik	intergenic	15.09	643	15.09	0.00	0.00	0.00
ENSMUSG00000092365	BC023719	antisense	15.06	976	0.00	0.00	0.00	94.67
ENSMUSG00000097277	2900076A07Rik	ncRNA host	15.03	1989	8.70	10.16	11.81	0.00
ENSMUSG00000097040	2610316D01Rik	antisense	14.95	1197	9.86	5.60	23.81	0.00
ENSMUSG00000086509/ENSMUSG00000098763	Nkx2-2os/Nkx2-2os	ncRNA host	14.85	4337	0.00	0.00	1.87	6.36
ENSMUSG00000053263	Gm12592	antisense	14.84	2951	8.91	0.00	6.17	100.00
ENSMUSG00000085007	Gm11549	intergenic	14.79	2826	7.50	12.10	11.11	0.00
ENSMUSG00000100164	2610306M01Rik	antisense	14.79	1041	100.00	8.07	40.35	0.00
ENSMUSG00000096943	Gm26721	antisense	14.5	986	32.35	6.19	14.91	0.00
ENSMUSG00000085069	Gm13111	antisense	14.37	3536	6.39	8.51	9.36	0.00
ENSMUSG00000086844	B230206H07Rik	antisense	14.16	3751	0.00	0.00	0.00	89.42
ENSMUSG00000097885	5031434O11Rik	antisense	13.96	3727	31.29	0.00	0.00	6.09
ENSMUSG00000085609	1700016P03Rik	antisense	13.95	860	25.58	0.00	0.00	74.42
ENSMUSG00000086181	C230034O21Rik	antisense	13.57	2829	66.88	10.99	0.00	66.88
ENSMUSG00000113121	AC160995.1	antisense	13.51	1088	0.00	5.15	0.00	19.30
ENSMUSG00000112302	AC148324.1	antisense	13.41	4220	49.91	3.20	3.06	13.41
ENSMUSG00000100017	2410022M11Rik	antisense	13.24	3617	33.76	0.00	7.85	0.00
ENSMUSG00000074578	Zfas1	ncRNA host	13.21	2915	86.31	73.45	1.44	5.90
ENSMUSG00000097142	Gm26778	antisense	13.2	3803	14.41	0.00	1.66	100.00
ENSMUSG00000097729	2310015A10Rik	intergenic	12.87	2323	16.27	5.85	5.55	0.00
ENSMUSG00000091514	Gm17484	antisense	12.72	2320	10.30	0.00	12.97	100.00
ENSMUSG00000104597	B230334C09Rik	antisense	12.63	8925	0.00	0.00	0.00	18.53
ENSMUSG00000084530/ENSMUSG00000098795/ENSMUSG00000105265	Mir1897/Gm27403/Sox2ot	ncRNA host	12.55	11616	1.54	2.67	3.12	0.00
ENSMUSG00000087143	A830082K12Rik	antisense	12.55	4294	12.44	5.54	6.75	5.70
ENSMUSG00000085282	Gm15663	antisense	12.41	3361	33.56	5.59	16.66	4.88
ENSMUSG00000097061	9330151L19Rik	antisense	12.35	2542	65.93	3.07	13.41	100.00
ENSMUSG00000043644	0610009L18Rik	antisense	12.32	617	100.00	31.44	18.96	0.00
ENSMUSG00000107195	4930589O11Rik	antisense	12.19	919	12.19	0.00	0.00	73.88
ENSMUSG00000103428	Gm20754	intergenic	12.15	1547	17.19	0.00	22.17	0.00
ENSMUSG00000113216	AL590503.1	intergenic	11.93	4249	0.00	3.15	7.41	0.00
ENSMUSG00000093565	Rab26os	ncRNA host	11.69	496	100.00	6.45	0.00	0.00
ENSMUSG00000086429	Gt(ROSA)26Sor	antisense	11.64	1685	15.73	11.39	6.05	9.44
ENSMUSG00000075576	Gm12359	antisense	11.34	1816	0.00	0.00	0.00	91.58
ENSMUSG00000073274	Gm14636	intergenic	11.33	7005	8.71	5.07	0.00	0.00
ENSMUSG00000089957	A830011K09Rik	antisense	11.33	2693	11.44	11.47	0.00	0.00
ENSMUSG00000035983	Gm7008	antisense	11.31	1521	50.03	6.84	38.00	52.27
ENSMUSG00000085614	1700123M08Rik	antisense	11.24	1254	0.00	0.00	13.00	0.00
ENSMUSG00000101013	A630072M18Rik	antisense	11.07	5409	52.01	1.39	4.94	95.28
ENSMUSG00000097585	E230029C05Rik	antisense	11.06	5956	11.06	0.00	0.00	11.06
ENSMUSG00000087249	Gm16062	antisense	10.92	769	23.54	18.99	10.53	76.46
ENSMUSG00000100706	Gm19744	antisense	10.92	5794	0.00	0.00	3.00	2.24
ENSMUSG00000097404	Gm10814	antisense	10.84	1928	26.71	0.00	0.00	44.66
ENSMUSG00000085558	4930412C18Rik	intergenic	10.8	6141	0.00	0.00	0.78	0.00
ENSMUSG00000109844	Gm31816	intergenic	10.54	2781	0.00	10.82	5.14	0.00
ENSMUSG00000096929	A330023F24Rik	ncRNA host	10.28	9346	10.38	46.38	3.76	34.90
ENSMUSG00000087380	2210408F21Rik	intergenic	10.15	2393	11.87	4.22	13.62	0.00
ENSMUSG00000097391	Mirg	ncRNA host	10.07	7371	0.00	4.84	2.16	0.00
ENSMUSG00000097806	Gm6556	antisense	9.82	2251	4.09	0.00	0.00	35.41
ENSMUSG00000085156	Snhg15	ncRNA host	9.59	1355	83.32	56.75	11.51	0.00
ENSMUSG00000056738	A730036I17Rik	intergenic	9.48	3608	0.00	0.00	0.00	0.00
ENSMUSG00000037735	2810032G03Rik	antisense	9.43	3170	10.44	0.00	19.27	0.00
ENSMUSG00000103041	Gm37305	antisense	9.38	4278	43.08	2.76	6.71	10.75
ENSMUSG00000097292	A230107N01Rik	antisense	9.33	2594	0.00	0.00	0.00	0.00
ENSMUSG00000055818	A230083G16Rik	antisense	9.2	989	32.25	0.00	22.65	0.00
ENSMUSG00000113741	AC159635.2	antisense	9.12	811	9.12	0.00	0.00	16.27
ENSMUSG00000086968	4933431E20Rik	antisense	9.11	6819	14.86	6.39	8.14	79.57
ENSMUSG00000090357/ENSMUSG00000097750	Gm17077/Gm4673	antisense	9.09	4766	35.63	0.00	0.00	44.38
ENSMUSG00000097195	Snhg5	ncRNA host	9.01	1776	80.35	40.65	6.36	0.00
ENSMUSG00000097296	Gm26532	ncRNA host	9	689	0.00	0.00	0.00	0.00
ENSMUSG00000097576	D930030I03Rik	antisense	8.93	918	26.25	0.00	0.00	0.00
ENSMUSG00000108624	Gm45091	antisense	8.89	495	8.89	0.00	0.00	8.89
ENSMUSG00000086859	Snhg20	ncRNA host	8.87	2165	74.41	75.24	9.84	0.00
ENSMUSG00000097414	B130046B21Rik	antisense	8.82	2212	8.63	2.76	5.02	100.00
ENSMUSG00000113165	AC115037.1	antisense	8.75	2172	11.28	0.00	2.21	39.23
ENSMUSG00000099512	Gm28703	intergenic	8.68	1152	8.94	5.82	5.64	0.00
ENSMUSG00000085555	2610035F20Rik	antisense	8.64	2441	0.00	0.00	0.00	0.00
ENSMUSG00000047935	Gm5607	intergenic	8.62	7413	0.00	0.00	7.78	0.00
ENSMUSG00000074813	Gm14005	intergenic	8.6	2036	3.00	0.00	0.00	0.00
ENSMUSG00000097775	4931440J10Rik	antisense	8.6	977	8.60	0.00	0.00	8.60
ENSMUSG00000087022	9130024F11Rik	antisense	8.52	5769	52.42	2.03	8.94	53.53
ENSMUSG00000055125	M5C1000I18Rik	antisense	8.5	1518	94.14	20.82	17.59	100.00
ENSMUSG00000097055	Gm4419	antisense	8.45	1727	88.30	0.00	6.60	0.00
ENSMUSG00000098051	Gm27032	ncRNA host	8.43	1115	62.51	0.09	0.00	0.00
ENSMUSG00000087026	A230103J11Rik	antisense	8.42	2102	8.99	3.14	22.60	100.00
ENSMUSG00000103755	Gm37805	antisense	8.42	1093	8.42	0.00	0.00	0.00
ENSMUSG00000101299	Gm28175	intergenic	8.29	1725	8.29	0.00	25.04	0.00
ENSMUSG00000087601	Uchl1os	antisense	8.24	2210	5.93	0.00	0.00	21.22
ENSMUSG00000109868	Gm45529	intergenic	8.22	2882	0.00	0.00	0.00	0.00
ENSMUSG00000086610	Gm15408	intergenic	8.15	1375	8.15	0.00	0.00	0.00
ENSMUSG00000097842	9330104G04Rik	antisense	8	3539	25.04	0.00	12.57	0.00
ENSMUSG00000053714	4732471J01Rik	antisense	7.74	4317	5.26	2.43	10.54	29.84
ENSMUSG00000103622	Gm38391	antisense	7.73	3905	7.84	0.00	5.69	24.64
ENSMUSG00000097493	9930014A18Rik	antisense	7.61	7040	21.86	2.29	3.41	47.41
ENSMUSG00000053656/ENSMUSG00000106943	Dancr/Dancr	ncRNA host	7.54	2346	65.69	27.20	0.00	0.00
ENSMUSG00000101493	2810405F17Rik	intergenic	7.53	1116	100.00	0.00	0.00	0.00
ENSMUSG00000113429	CT030140.1	antisense	7.46	1086	0.00	16.02	13.26	0.00
ENSMUSG00000101609	Kcnq1ot1	ncRNA host	7.43	84394	0.63	0.00	0.00	0.23
ENSMUSG00000097080	1700086O06Rik	antisense	7.42	1927	44.16	0.00	15.57	36.12
ENSMUSG00000097566	A930024N18Rik	antisense	7.39	3952	7.39	0.00	0.00	93.55
ENSMUSG00000098097	6530403H02Rik	intergenic	7.39	4085	0.00	0.02	2.47	0.00
ENSMUSG00000111929	AC154585.1	antisense	7.33	996	0.00	0.00	0.00	92.67
ENSMUSG00000097265	Gm26803	intergenic	7.17	2009	7.72	0.00	0.00	0.00
ENSMUSG00000097635	Gm26826	antisense	7.14	1386	7.14	0.00	0.00	10.82
ENSMUSG00000060424	Pantr1	antisense	7.13	4444	36.95	3.71	7.27	0.00
ENSMUSG00000110279	Gm45552	antisense	6.99	772	73.45	0.00	0.00	19.94
ENSMUSG00000097433	Gm26781	antisense	6.98	1476	0.00	0.00	0.00	63.62
ENSMUSG00000052769	Gm9889	antisense	6.91	1578	6.91	0.00	0.00	0.00
ENSMUSG00000090386	Mir99ahg	antisense	6.72	14029	17.44	46.34	1.63	0.00
ENSMUSG00000110945	AC133650.1	antisense	6.72	2576	76.51	0.00	0.00	100.00
ENSMUSG00000091994	E130317F20Rik	antisense	6.71	3590	88.33	0.00	6.18	17.49
ENSMUSG00000098243	Gm4258	intergenic	6.62	1435	6.62	0.00	3.28	0.00
ENSMUSG00000085927/ENSMUSG00000087178	Gm15888/A230056P14Rik	antisense	6.55	2441	5.78	0.00	11.59	24.82
ENSMUSG00000097290	1300002E11Rik	intergenic	6.46	4135	3.10	0.00	4.91	0.00
ENSMUSG00000110586	4930578M07Rik	antisense	6.17	1118	6.17	0.00	0.00	0.00
ENSMUSG00000085782	Gm15624	antisense	6.07	3886	0.00	0.00	2.93	0.00
ENSMUSG00000107726	Gm44037	intergenic	6.03	1890	0.00	0.00	0.00	0.00
ENSMUSG00000102504	Gm21955	intergenic	5.96	4967	0.00	0.00	0.00	0.00
ENSMUSG00000092274	Neat1	ncRNA host	5.84	20770	15.54	1.98	2.09	0.00
ENSMUSG00000092375	A730060N03Rik	antisense	5.84	2122	5.84	0.00	0.00	26.86
ENSMUSG00000097589	Dleu2	ncRNA host	5.74	11309	5.07	1.10	1.36	0.00
ENSMUSG00000094002	Gm9866	intergenic	5.73	12314	0.00	2.61	7.77	0.00
ENSMUSG00000085622	3110056K07Rik	antisense	5.46	3150	37.71	4.06	6.19	0.00
ENSMUSG00000046109	AB041806	antisense	5.42	2104	0.00	0.00	19.49	100.00
ENSMUSG00000097027	Gm26559	antisense	5.42	2379	0.00	0.00	0.00	0.00
ENSMUSG00000109780	Gm45447	antisense	5.27	1803	23.13	0.00	0.00	0.00
ENSMUSG00000097761	4930534D22Rik	antisense	5.23	2713	7.22	0.00	4.94	23.99
ENSMUSG00000097309	Gm17249	antisense	5.17	3482	10.48	0.00	0.00	10.48
ENSMUSG00000074149	Gm10634	antisense	5.05	2414	32.56	0.00	0.00	32.56
ENSMUSG00000085385	Snhg17	ncRNA host	4.99	7048	18.49	0.00	3.50	0.00
ENSMUSG00000073236	2500004C02Rik	antisense	4.89	2210	23.35	4.98	19.28	13.12
ENSMUSG00000084890	A830036E02Rik	antisense	4.82	6032	0.00	1.01	9.85	57.69
ENSMUSG00000072893	4933439C10Rik	antisense	4.62	5612	26.37	1.30	4.65	21.81
ENSMUSG00000071753	C230004F18Rik	intergenic	4.4	3636	1.98	43.43	4.37	0.00
ENSMUSG00000086368	Gm13830	antisense	4.17	3092	2.13	0.00	0.00	0.00
ENSMUSG00000097787	2700046G09Rik	antisense	4.15	1639	64.37	3.48	10.25	38.32
ENSMUSG00000110523	Gm45898	intergenic	4.14	3548	3.78	47.15	4.74	0.00
ENSMUSG00000097638	Carlr	intergenic	4.12	2573	0.00	0.00	0.00	0.00
ENSMUSG00000113589	AC124732.3	antisense	3.97	1764	3.97	0.00	0.00	100.00
ENSMUSG00000097640	Gm20033	antisense	3.82	3118	39.80	0.00	13.66	55.81
ENSMUSG00000097375	6720427I07Rik	ncRNA host	3.7	2299	0.00	8.74	0.00	0.00
ENSMUSG00000063087	Gm10125	antisense	3.58	7456	2.01	3.89	0.00	9.50
ENSMUSG00000087038	2900079G21Rik	antisense	3.57	6713	12.27	3.23	7.82	9.86
ENSMUSG00000085586	Gm11613	ncRNA host	3.51	1967	8.59	6.66	9.46	0.00
ENSMUSG00000087231	E230016M11Rik	antisense	3.51	3819	3.51	0.00	5.73	8.46
ENSMUSG00000046219	C230012O17Rik	antisense	3.12	4543	0.00	0.00	0.00	15.41
ENSMUSG00000103674	Gm37699	intergenic	2.97	3337	0.00	0.00	0.00	0.00
ENSMUSG00000099964	Gm29514	antisense	2.93	2495	0.00	0.00	0.00	64.69
ENSMUSG00000090936	Gm17705	antisense	2.9	1553	2.90	0.00	0.00	0.00
ENSMUSG00000097743	Gm16973	antisense	2.89	2418	0.00	0.00	0.00	72.70
ENSMUSG00000073478	D730003I15Rik	intergenic	2.88	1668	67.69	0.00	5.04	0.00
ENSMUSG00000087177	E130307A14Rik	antisense	2.83	7128	3.77	8.14	4.12	6.66
ENSMUSG00000097305	Gm17276	antisense	2.77	2780	2.77	0.00	2.77	79.10
ENSMUSG00000107994	D830050J10Rik	antisense	2.54	1812	100.00	0.00	29.64	39.24
ENSMUSG00000097157	Gm26512	antisense	2.53	3796	2.53	0.00	5.51	2.53
ENSMUSG00000113528	CT009754.4	antisense	2.47	1987	47.16	0.00	2.47	0.00
ENSMUSG00000113585	AL591582.1	antisense	2.47	2307	2.47	0.00	0.00	0.00
ENSMUSG00000052479	A330008L17Rik	antisense	2.4	5720	0.00	0.00	8.25	0.00
ENSMUSG00000086171	Pcsk2os1	antisense	2.29	4450	2.25	3.46	2.00	32.18
ENSMUSG00000113288	AC164164.1	intergenic	2.27	2339	0.00	0.00	0.00	0.00
ENSMUSG00000097073	9430037G07Rik	ncRNA host	2.26	3853	21.67	0.00	1.64	78.33
ENSMUSG00000097440	Gm6277	antisense	2.18	1790	8.72	0.00	6.70	8.72
ENSMUSG00000107277	Gm10461	antisense	2.15	4785	1.94	0.00	0.00	31.60
ENSMUSG00000053214	Gm9899	antisense	2.14	6175	3.74	0.86	8.99	3.74
ENSMUSG00000107502	Gm44065	antisense	1.99	3526	1.99	0.00	0.00	100.00
ENSMUSG00000105848	Gm42683	intergenic	1.89	2327	1.89	0.00	0.00	0.00
ENSMUSG00000052848	C130026L21Rik	intergenic	1.75	3648	4.91	3.02	9.07	0.00
ENSMUSG00000059277	R74862	antisense	1.73	3883	16.71	35.39	5.02	14.99
ENSMUSG00000087095	Emx2os	antisense	1.71	5019	4.26	3.83	0.94	6.38
ENSMUSG00000113621	AC121804.3	antisense	1.69	4078	32.22	1.69	5.08	30.53
ENSMUSG00000097177	9330159M07Rik	ncRNA host	1.6	5424	22.31	2.49	3.41	82.98
ENSMUSG00000087694/ENSMUSG00000092201/ENSMUSG00000092397	A530058N18Rik/A530058N18Rik/C130080G10Rik	antisense	1.54	8618	0.00	0.00	0.00	1.79
ENSMUSG00000072591	5930412G12Rik	antisense	1.41	3469	1.41	0.00	0.00	0.00
ENSMUSG00000097403	9230116N13Rik	antisense	1.22	3603	1.22	0.00	0.00	97.70
ENSMUSG00000111236	AC134324.1	intergenic	1.21	3227	0.00	0.00	0.00	0.00
ENSMUSG00000097462	9530026P05Rik	antisense	1.2	5736	8.37	61.84	0.00	0.00
ENSMUSG00000085084	4930570G19Rik	antisense	1.1	4169	16.55	1.49	5.68	0.00
ENSMUSG00000097048	1600020E01Rik	antisense	0.86	4320	33.56	0.00	1.92	10.46
ENSMUSG00000078700	D030028A08Rik	antisense	0.74	6451	6.68	0.00	3.66	44.21
ENSMUSG00000097451/ENSMUSG00000098061	Rian/Gm26945	ncRNA host	0.35	20238	0.00	67.90	0.00	0.00
ENSMUSG00000022639	Dubr	intergenic	0	4676	17.96	2.72	2.57	0.00
ENSMUSG00000023737	1700082M22Rik	antisense	0	506	15.02	0.00	0.00	15.02
ENSMUSG00000033731	3300002A11Rik	antisense	0	721	0.00	0.00	19.42	0.00
ENSMUSG00000039563	2210406O10Rik	antisense	0	2468	13.70	0.00	2.43	0.00
ENSMUSG00000041878	8430432A02Rik	antisense	0	1247	100.00	0.00	0.00	100.00
